plant_name,lat,lon,capacity_mw,status,retirement_year,state,plant_code,nearest_grid_idx,grid_distance_km,depth_bin,depth_300_km,depth_score,status_score
Argus Cogen Plant,35.765,-117.3833,62.5,Operating,,CA,10684.0,136249,1.3327506516666594,6-7 km,6.753178246858505,4,2
Intermountain Power Project,39.509731,-112.58018,1640.0,Retired,2025.0,UT,6481.0,246394,1.9704858476091536,8-10 km,8.5,6,1
Pirkey,32.4607,-94.4852,721.0,Retired,2023.0,TX,7902.0,55002,1.5657806283717133,8-10 km,10.0,6,1
Dolet Hills,32.030556,-93.569167,720.7,Retired,2021.0,LA,51.0,46982,1.4873580523469394,8-10 km,10.0,6,1
Boardman,45.693182,-119.808819,642.2,Retired,2020.0,OR,6106.0,448691,1.1434148720054644,8-10 km,10.0,6,1
Reid Gardner,36.657347,-114.633263,294.8,Retired,2017.0,NV,2324.0,161873,1.6787594347210184,8-10 km,10.0,6,1
Escalante,35.4159,-108.082,257.0,Retired,2020.0,NM,87.0,127239,2.621385734841064,8-10 km,10.0,6,1
Valmont,40.0195,-105.202,191.7,Retired,2017.0,CO,477.0,262919,1.558866552309032,8-10 km,10.0,6,1
Kennecott Power Plant,40.7119,-112.1225,182.0,Retired,2019.0,UT,56163.0,285982,1.249287463638175,8-10 km,8.5,6,1
Cherokee,39.807275,-104.964548,170.5,Retired,2015.0,CO,469.0,256511,1.15853499627533,8-10 km,10.0,6,1
South Plant (CO),38.824444,-104.833333,125.0,Retired,2022.0,CO,492.0,224822,2.0531968759321266,8-10 km,10.0,6,1
Trinidad (CO),37.178979,-104.487492,3.7,Retired,2017.0,CO,511.0,176441,1.92264062681491,8-10 km,10.0,6,1
Martin Lake,32.2606,-94.5706,2379.6,Operating,,TX,6146.0,51042,0.6082031971231604,8-10 km,10.0,6,2
Springerville,34.3186,-109.1639,1765.8,Operating,,AZ,8223.0,97949,2.043147745345937,8-10 km,8.5,6,2
Welsh,33.05522,-94.839993,1674.0,Operating,2016.0,TX,6139.0,68145,0.5283659996429213,8-10 km,10.0,6,2
Comanche (CO),38.2081,-104.5747,1635.3,Operating,2022.0,CO,470.0,206641,1.6434717172701658,8-10 km,10.0,6,2
Craig (CO),40.4627,-107.5912,1427.6,Operating,,CO,6021.0,277678,2.0295766468798613,8-10 km,10.0,6,2
Huntington,39.3792,-111.0781,1015.5,Operating,,UT,8069.0,242024,1.491848287823835,8-10 km,10.0,6,2
Coronado,34.5789,-109.2708,821.8,Operating,,AZ,6177.0,104463,0.8728266635321018,8-10 km,10.0,6,2
Coleto Creek,28.7128,-97.214167,622.4,Operating,,TX,6178.0,8040,1.9732609775747094,8-10 km,10.0,6,2
Hayden,40.4856,-107.185,465.4,Operating,,CO,525.0,277688,2.4903690008178105,8-10 km,10.0,6,2
North Valmy,40.881317,-117.151605,289.8,Operating,,NV,8224.0,291118,0.7324524081239007,8-10 km,8.5,6,2
TS Power Plant,40.7461,-116.5297,242.0,Operating,,NV,56224.0,286535,1.379828853456287,8-10 km,10.0,6,2
Ray D Nixon,38.633451,-104.70577,207.0,Operating,,CO,8219.0,219281,1.3386612347232856,8-10 km,10.0,6,2
Apache Station,32.0603,-109.8931,204.0,Operating,,AZ,160.0,47193,1.2019560780681833,8-10 km,10.0,6,2
Paradise,37.2608,-86.9783,2558.2,Retired,2020.0,KY,1378.0,178998,1.553013365158418,>10 km,,10,1
Navajo,36.9047,-111.3886,2409.3,Retired,2019.0,AZ,4941.0,168075,1.8980566574747482,>10 km,,10,1
Homer City Generating Station,40.512825,-79.196107,2012.0,Retired,2024.0,PA,3122.0,279436,0.9202019478923835,>10 km,,10,1
Monticello,33.0917,-95.0417,1980.0,Retired,2018.0,TX,6147.0,69140,1.452153393743431,>10 km,,10,1
Wansley,33.41342,-85.032329,1904.0,Retired,2022.0,GA,6052.0,76622,2.013780012720632,>10 km,,10,1
San Juan,36.8006,-108.4386,1848.0,Retired,2022.0,NM,2451.0,165980,2.202219050717738,>10 km,,10,1
St Clair,42.7642,-82.4719,1547.0,Retired,2022.0,MI,1743.0,355086,1.0310557044986841,>10 km,,10,1
Johnsonville,36.0278,-87.9861,1485.2,Retired,2017.0,TN,3406.0,144045,1.9436631184321276,>10 km,,10,1
Gorgas,33.644344,-87.196486,1416.7,Retired,2019.0,AL,8.0,82073,1.1927566812359798,>10 km,,10,1
Harllee Branch,33.195,-83.2983,1387.2,Retired,2015.0,GA,709.0,71348,1.086624999800185,>10 km,,10,1
St Johns River Power Park,30.4308,-81.5508,1358.0,Retired,2018.0,FL,207.0,22655,2.358755125147308,>10 km,,10,1
Chesterfield,37.3822,-77.3833,1352.9,Retired,2023.0,VA,3797.0,182809,1.8252016015506736,>10 km,,10,1
Colbert,34.7439,-87.8486,1350.0,Retired,2016.0,AL,47.0,108981,1.8089599325921286,>10 km,,10,1
Morgantown Generating Plant,38.3592,-76.9767,1252.0,Retired,2022.0,MD,1573.0,211499,2.0748885465725904,>10 km,,10,1
Rush Island,38.131248,-90.263157,1242.0,Retired,2024.0,MO,6155.0,204547,0.7500161865768807,>10 km,,10,1
Pleasant Prairie,42.5381,-87.9033,1233.2,Retired,2018.0,WI,6170.0,347386,1.9707248863742417,>10 km,,10,1
Big Brown,31.8206,-96.0544,1186.8,Retired,2018.0,TX,3497.0,43181,1.8254613594232072,>10 km,,10,1
G G Allen,35.1897,-81.0122,1148.4,Retired,2024.0,NC,2718.0,121040,1.8565889290782067,>10 km,,10,1
Cholla,34.9394,-110.3033,1128.8,Retired,2025.0,AZ,113.0,114312,1.8773982844704578,>10 km,,10,1
Widows Creek,34.883022,-85.755253,1125.0,Retired,2015.0,AL,50.0,112969,0.7513115053021453,>10 km,,10,1
Tanners Creek,39.0814,-84.8594,1100.1,Retired,2015.0,IN,988.0,233904,0.7855341788074064,>10 km,,10,1
Coffeen,39.0586,-89.4031,1005.4,Retired,2019.0,IL,861.0,232893,0.7364105722448976,>10 km,,10,1
Allen,35.074087,-90.14868,990.0,Retired,2018.0,TN,3393.0,117822,1.9861624528414932,>10 km,,10,1
Hammond,34.2528,-85.3456,953.0,Retired,2019.0,GA,708.0,96623,1.1769019012578854,>10 km,,10,1
Bull Run,36.0211,-84.1567,950.0,Retired,2023.0,TN,3396.0,144128,0.9963661268305126,>10 km,,10,1
