plant_name,lat,lon,capacity_mw,status,retirement_year,state,plant_code,nearest_grid_idx,grid_distance_km,depth_bin,depth_300_km,depth_score,status_score
Scherer,33.0606,-83.8075,3564.0,Operating,2022.0,GA,6257.0,68391,2.0593666298199995,>10 km,,10,2
Bowen,34.1256,-84.9222,3498.6,Operating,,GA,703.0,93932,1.9030142973153408,>10 km,,10,2
Gibson,38.372222,-87.765833,3339.5,Operating,,IN,6113.0,212345,2.278144198024864,>10 km,,10,2
Monroe (MI),41.8906,-83.3464,3279.6,Operating,,MI,1733.0,326735,0.9373652744072433,>10 km,,10,2
John E Amos,38.4731,-81.8233,2932.6,Operating,,WV,3935.0,215669,2.3513423989000826,>10 km,,10,2
James H Miller Jr,33.6319,-87.0597,2822.0,Operating,,AL,6002.0,81197,1.8310231262019676,>10 km,,10,2
W A Parish,29.4828,-95.6311,2736.8,Operating,,TX,3470.0,12103,2.0747265111787927,>10 km,,10,2
Rockport,37.9256,-87.0372,2600.0,Operating,,IN,6166.0,198585,1.2444220493675084,>10 km,,10,2
"Gavin Power, LLC",38.9347,-82.1158,2600.0,Operating,,OH,8102.0,229640,1.5031063173317734,>10 km,,10,2
Cumberland (TN),36.3903,-87.6539,2600.0,Operating,,TN,3399.0,154391,0.9514887915203993,>10 km,,10,2
Roxboro,36.4833,-79.0731,2558.2,Operating,,NC,2712.0,157149,1.0299673551700779,>10 km,,10,2
Paradise,37.2608,-86.9783,2558.2,Retired,2020.0,KY,1378.0,178998,1.553013365158418,>10 km,,10,1
Sherburne County,45.3808,-93.8931,2469.3,Operating,2023.0,MN,6090.0,439752,0.7080853895950688,>10 km,,10,2
Cross,33.371506,-80.113235,2451.5,Operating,,SC,130.0,75302,2.295005820414575,>10 km,,10,2
Crystal River,28.9656,-82.6977,2442.7,Operating,2018.0,FL,628.0,9058,0.8088498708362177,>10 km,,10,2
Navajo,36.9047,-111.3886,2409.3,Retired,2019.0,AZ,4941.0,168075,1.8980566574747482,>10 km,,10,1
Labadie,38.562244,-90.837686,2389.4,Operating,,MO,2103.0,217610,0.54696882017381,>10 km,,10,2
Martin Lake,32.2606,-94.5706,2379.6,Operating,,TX,6146.0,51042,0.6082031971231604,8-10 km,10.0,6,2
Colstrip,45.8831,-106.614,2363.4,Operating,2020.0,MT,6076.0,454192,0.8063474372967427,>10 km,,10,2
Ghent,38.7497,-85.035,2225.9,Operating,,KY,1356.0,223200,1.6453496490843729,>10 km,,10,2
Jeffrey Energy Center,39.286453,-96.117231,2160.0,Operating,,KS,6068.0,240162,1.6014690733354862,>10 km,,10,2
AES Petersburg,38.5281,-87.2525,2146.7,Operating,2023.0,IN,994.0,216134,0.4988416351649143,>10 km,,10,2
FirstEnergy Harrison Power Station,39.384167,-80.3325,2052.0,Operating,,WV,3944.0,243808,1.988878444291628,>10 km,,10,2
Homer City Generating Station,40.512825,-79.196107,2012.0,Retired,2024.0,PA,3122.0,279436,0.9202019478923835,>10 km,,10,1
Monticello,33.0917,-95.0417,1980.0,Retired,2018.0,TX,6147.0,69140,1.452153393743431,>10 km,,10,1
Conemaugh,40.3842,-79.0611,1951.0,Operating,,PA,3118.0,274983,1.8209317171468236,>10 km,,10,2
R M Schahfer,41.2164,-87.0261,1943.4,Operating,2021.0,IN,6085.0,303252,0.5111226534761601,>10 km,,10,2
Wansley,33.41342,-85.032329,1904.0,Retired,2022.0,GA,6052.0,76622,2.013780012720632,>10 km,,10,1
Baldwin Energy Complex,38.205,-89.8544,1894.1,Operating,2020.0,IL,889.0,206968,0.3542290178516956,>10 km,,10,2
Cardinal,40.2522,-80.6486,1880.4,Operating,,OH,2828.0,270963,1.658548330079023,>10 km,,10,2
